"Name of Place,City,Country,Latitude,Longitude"
"The Ritz Paris,Paris,France,48.8681,2.3289"
"Brooklyn Mirage,Brooklyn,United States of America,40.7109,73.9258"
"Las Vegas Motor Speedway,Las Vegas,United States of America,36.2725,115.0104"
"La Jolla,San Diego,United States of America,32.8328,117.2713"
"The Sebastian Hotel,Vail,United States of America,39.6426,106.378"
"Grand Palace,Brussels,Belgium,50.8468,4.3524"
"Big Ben,London,United Kingdom,51.5007,0.1246"
"St. Regis,Aspen,United States of America,39.1869,106.8211"
"Mila,Miami,United States of America,25.7901,80.1367"
"Adler Planetarium,Chicago,United States of America,41.8664,87.6068"
"The Midway,San Francisco,United States of America,37.7493,122.3857"
"Piazza Del Duomo,Milan,Italy,43.7731,11.2555"
"Conca dei Marini,Amalfi,Italy,40.6163,14.5754"
"The Louvre,Paris,France,48.8606,2.3376"
"Red Light District,Amsterdam,Netherlands,52.3719,4.8959"
"Red Rocks,Morrison,United States of America,39.6655,105.2052"
"Haleiwa,Oahu,United States of America,21.5928,158.1034"
"Supertree Observatory,Marina Bay Area,Singapore,1.2816,103.8636"
"Alona Beach,Panglao,Phillippines,9.5486,123.774"
"Printworks,London,United Kingdom,51.4975,0.0437"
"Long Beach,Los Angeles,United States of America,33.7701,118.1937"
"Chocolate Hills,Bohol,Phillippines,9.8297,124.1397"
"Robertson Quay,River Valley,Singapore,1.2908,103.8373"
"Place Vendome,Paris,France,48.8674,2.3294"
"Amsterdam Centraal,Amsterdam,Netherlands,52.3791,4.9003"
